RowId	dateSold	productSold	unitsSold	salesChannel	Region	custId	custName	productId	productName	stdCost	stdPrice	Country
1	2012-08-09 00:00:00.000	SUPA101	117	Online	Unknown	23262	Candice Levy	SUPA101	Super Soft - Product Sample	0.3	0	Unknown
4	2012-08-05 00:00:00.000	SUPA104	14	Online	Sub-Saharan Africa	23265	Uriel Benton	SUPA104	Super Soft - 1 Litre	5	9.99	South Africa
5	2012-08-11 00:00:00.000	PURA200	170	Retail	Sub-Saharan Africa	23266	Celeste Pugh	PURA200	Pure Soft Detergent - 200ml	2	3.99	Gabon
6	2012-07-11 00:00:00.000	PURA100	129	Online	Unknown	23267	Vance Campos	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
8	2012-06-03 00:00:00.000	PURA100	116	Direct	Europe	23269	Jane Hernandez	PURA100	Pure Soft Detergent - 100ml	1.5	3	Macedonia
9	2012-06-07 00:00:00.000	SUPA103	67	Online	Asia	23270	Wanda Garza	SUPA103	Super Soft - 500ml	3.5	6.99	Kyrgyzstan
10	2012-07-27 00:00:00.000	SUPA103	125	Retail	Unknown	23271	Athena Fitzpatrick	SUPA103	Super Soft - 500ml	3.5	6.99	Unknown
12	2012-08-13 00:00:00.000	SUPA104	22	Online	Unknown	23273	Isaac Cooper	SUPA104	Super Soft - 1 Litre	5	9.99	Unknown
13	2012-08-22 00:00:00.000	PURA100	153	Retail	Europe	23274	Asher Weber	PURA100	Pure Soft Detergent - 100ml	1.5	3	Macedonia
15	2012-08-01 00:00:00.000	PURA500	65	Online	Asia	23276	Hayes Rollins	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Nepal
16	2012-07-12 00:00:00.000	SUPA101	157	Online	Middle East and North Africa	23277	MacKenzie Moss	SUPA101	Super Soft - Product Sample	0.3	0	Oman
17	2012-08-24 00:00:00.000	SUPA105	197	Online	Sub-Saharan Africa	23278	Aphrodite Brennan	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Malawi
18	2012-06-21 00:00:00.000	PURA100	10	Online	Europe	23279	Angela Wise	PURA100	Pure Soft Detergent - 100ml	1.5	3	Moldova 
19	2012-06-03 00:00:00.000	SUPA103	30	Online	Sub-Saharan Africa	23280	James Spencer	SUPA103	Super Soft - 500ml	3.5	6.99	Burkina Faso
20	2012-07-13 00:00:00.000	SUPA102	134	Online	Unknown	23281	Adria Kaufman	SUPA102	Super Soft - 250ml	2.5	4.5	Unknown
22	2012-06-24 00:00:00.000	SUPA105	142	Retail	Australia and Oceania	23283	Lani Sweet	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Vanuatu
23	2012-06-17 00:00:00.000	PURA250	135	Online	Australia and Oceania	23284	Clark Weaver	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Palau
24	2012-07-24 00:00:00.000	SUPA102	9	Retail	Sub-Saharan Africa	23285	Leonard Cardenas	SUPA102	Super Soft - 250ml	2.5	4.5	Madagascar
26	2012-06-17 00:00:00.000	PURA250	189	Online	Unknown	23287	Joy Vazquez	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Unknown
27	2012-06-14 00:00:00.000	SUPA104	141	Retail	Unknown	23288	Ingrid Bush	SUPA104	Super Soft - 1 Litre	5	9.99	Unknown
28	2012-08-02 00:00:00.000	SUPA105	166	Direct	Asia	23289	Deacon Craig	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Mongolia
31	2012-07-03 00:00:00.000	SUPA105	73	Online	Australia and Oceania	23292	Liberty Mcbride	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Fiji
32	2012-06-30 00:00:00.000	SUPA101	117	Retail	Sub-Saharan Africa	23293	Britanni Bender	SUPA101	Super Soft - Product Sample	0.3	0	Angola
34	2012-06-09 00:00:00.000	SUPA101	45	Retail	Australia and Oceania	23295	Shad Delacruz	SUPA101	Super Soft - Product Sample	0.3	0	Solomon Islands
35	2012-06-08 00:00:00.000	SUPA105	37	Direct	Europe	23296	India Gilbert	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Denmark
37	2012-07-28 00:00:00.000	PURA250	12	Online	Unknown	23298	Ryder Conner	PURA250	Pure Soft Detergent - 250ml	2.3	4.5	Unknown
38	2012-06-27 00:00:00.000	PURA200	104	Retail	Sub-Saharan Africa	23299	Germaine Kidd	PURA200	Pure Soft Detergent - 200ml	2	3.99	Niger
39	2012-07-07 00:00:00.000	SUPA104	167	Retail	Unknown	23300	Rhona Clarke	SUPA104	Super Soft - 1 Litre	5	9.99	Unknown
40	2012-07-19 00:00:00.000	SUPA103	108	Online	Unknown	23301	Maxwell Parker	SUPA103	Super Soft - 500ml	3.5	6.99	Unknown
41	2012-07-27 00:00:00.000	PURA500	105	Retail	Central America and the Caribbean	23302	Isaac Wolf	PURA500	Pure Soft Detergent - 500ml	3.5	6.5	Panama
42	2012-08-17 00:00:00.000	SUPA105	176	Online	Unknown	23303	Guinevere Key	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Unknown
43	2012-06-01 00:00:00.000	PURA200	131	Direct	Australia and Oceania	23304	Deanna Santana	PURA200	Pure Soft Detergent - 200ml	2	3.99	Solomon Islands
47	2012-07-09 00:00:00.000	PURA100	112	Retail	Unknown	23308	Dara Cunningham	PURA100	Pure Soft Detergent - 100ml	1.5	3	Unknown
48	2012-06-23 00:00:00.000	PURA200	201	Retail	Sub-Saharan Africa	23309	Buckminster Hopkins	PURA200	Pure Soft Detergent - 200ml	2	3.99	Sierra Leone
49	2012-06-17 00:00:00.000	SUPA104	41	Retail	North America	23310	Kenyon Joyce	SUPA104	Super Soft - 1 Litre	5	9.99	Canada
50	2012-06-12 00:00:00.000	SUPA105	18	Retail	Unknown	23311	Forrest Macdonald	SUPA105	Super Soft Bulk - 2 Litres	8	14.5	Unknown
51	2012-07-06 00:00:00.000	PURA200	28	Retail	Unknown	23312	Thomas Barnes	PURA200	Pure Soft Detergent - 200ml	2	3.99	Unknown
52	2012-07-15 00:00:00.000	SUPA101	137	Online	Unknown	23313	Cruz Pacheco	SUPA101	Super Soft - Product Sample	0.3	0	Unknown
53	2012-08-10 00:00:00.000	SUPA104	95	Retail	Central America and the Caribbean	23314	Maxine Gentry	SUPA104	Super Soft - 1 Litre	5	9.99	Panama
